model,known_months,count,rmse,mae,nrmse_std,nrmse_range,smape,pearson_corr,r2,modality,lag1_rmse,seasonal_last_year_rmse,beats_lag1,beats_seasonal_last_year,raw_rmse,raw_mae,count_overall,feature_wins_vs_lag1,feature_wins_vs_seasonal_last_year,run_name,feature_group,selected_feature_count,target_mode,loss_mode,trainable_parameters,training_runtime_seconds,input_dim,output_dim,seq_len,checkpoint_size_bytes,sarima_fit_count,sarima_fallback_count
lstm,1,3960.0,3.430128896978593,0.4132919232829031,0.6473335480803778,0.1285744434933475,67.5309255352479,0.1883436445489804,-0.1287643214525966,all,3.2447278024199524,3.315950532380822,False,False,3.4301288969785935,0.41329192328290315,3960,10,3,ablation_ia30_seq6_lstm_residual_ndvi,ndvi,12,seasonal_residual,raw_mse,20876,0.9265186409757008,12,12,6,86931,1800,0
naive_lag1,1,3960.0,3.2447278024199524,0.393777184996688,1.4208163549768809,0.3290328788741375,65.96280573035204,0.0010956181464986,-0.0100408399713625,all,3.2447278024199524,3.315950532380822,False,True,3.2447278024199524,0.39377718499668807,3960,0,1,ablation_ia30_seq6_lstm_residual_ndvi,ndvi,12,seasonal_residual,raw_mse,0,,12,12,6,0,1800,0
sarima,1,3960.0,3.208124991771814,0.3697239850485297,0.6786462071600546,0.1335408213245338,61.25817047973655,0.2558726510340488,0.0126185881666061,all,3.2447278024199524,3.315950532380822,True,True,3.208124991771814,0.3697239850485297,3960,11,4,ablation_ia30_seq6_lstm_residual_ndvi,ndvi,12,seasonal_residual,raw_mse,0,,12,12,6,0,1800,0
seasonal_last_year,1,3960.0,3.315950532380822,0.2988376331681414,0.6298121740998841,0.1201981458463425,41.22555242969614,0.2548779827384593,-0.0548688474099223,all,3.2447278024199524,3.315950532380822,False,False,3.315950532380822,0.2988376331681414,3960,10,0,ablation_ia30_seq6_lstm_residual_ndvi,ndvi,12,seasonal_residual,raw_mse,0,,12,12,6,0,1800,0
ensemble_mean,1,8910.0,375.06120945652,48.79489298754892,0.6847217459689109,0.1430202504995135,56.762697353669495,0.9467800098653704,0.8900518584332163,all,917.746946757063,379.3884684945929,True,True,375.06120945652,48.79489298754892,8910,23,21,ablation_ia30_seq6_lstm_residual_ndvi_weather,ndvi_weather,27,seasonal_residual,raw_mse,0,,27,27,6,0,4050,0
lstm,1,8910.0,372.78487593086,54.05703267622355,0.7586037726972527,0.1602667759089557,64.75371871338402,0.9449692249223924,0.891382410301375,all,917.746946757063,379.3884684945929,True,True,372.78487593086004,54.05703267622355,8910,22,4,ablation_ia30_seq6_lstm_residual_ndvi_weather,ndvi_weather,27,seasonal_residual,raw_mse,25691,0.9787300630123354,27,27,6,106195,4050,0
naive_lag1,1,8910.0,917.746946757063,152.0103160502272,1.6684107842695148,0.4136480521284578,87.03801873684037,0.869442935183137,0.3416914578897541,all,917.746946757063,379.3884684945929,False,False,917.746946757063,152.0103160502272,8910,0,3,ablation_ia30_seq6_lstm_residual_ndvi_weather,ndvi_weather,27,seasonal_residual,raw_mse,0,,27,27,6,0,4050,0
sarima,1,8910.0,383.5655753651263,50.91110682973186,0.7489947012800864,0.155660223424714,57.64822122214181,0.9444995343852388,0.8850092677268581,all,917.746946757063,379.3884684945929,True,False,383.5655753651263,50.91110682973186,8910,24,8,ablation_ia30_seq6_lstm_residual_ndvi_weather,ndvi_weather,27,seasonal_residual,raw_mse,0,,27,27,6,0,4050,0
seasonal_last_year,1,8910.0,379.3884684945929,45.95307373793155,0.7146681747795546,0.1491873028162438,41.34068774739562,0.9485297710977396,0.8875001749896335,all,917.746946757063,379.3884684945929,True,False,379.3884684945929,45.95307373793155,8910,23,0,ablation_ia30_seq6_lstm_residual_ndvi_weather,ndvi_weather,27,seasonal_residual,raw_mse,0,,27,27,6,0,4050,0
ensemble_mean,1,4950.0,502.576406949905,82.87746194590518,0.7277516777669417,0.1583035377463783,54.13883658019829,0.9472246932545362,0.8873053686417862,all,1231.2833152043568,508.9944023519949,True,True,502.576406949905,82.87746194590518,4950,13,9,ablation_ia30_seq6_lstm_residual_weather,weather,15,seasonal_residual,raw_mse,0,,15,15,6,0,2250,0
