run_name,target_mode,states,max_counties,years,train_years,val_years,test_years,seq_len,loss_mode,feature_group,model,known_months,modality,rmse,mae,beats_lag1,beats_seasonal_last_year,runtime_seconds,status
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,3,ag,4.062652031826551,1.016937968756762,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,3,ndvi,3.525873190862048,0.3821188781217867,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,3,weather,511.79942745286274,83.86045084600372,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,6,ag,4.24771456315278,1.0410273295710797,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,6,ndvi,4.2475182234211255,0.4790956661178454,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,6,weather,118.28216061599824,29.98165629000989,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,9,ag,4.798881418773765,1.3893039261288425,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,9,ndvi,0.0795601533069264,0.0394557074954112,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,9,weather,86.1464988385226,22.384808699521752,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,0,ag,5.071042418083557,1.4710106995964265,True,False,143.40200781822205,completed
