run_name,states,max_counties,years,train_years,val_years,test_years,seq_len,epochs,batch_size,learning_rate,hidden_size,num_layers,dropout,loss_mode,feature_group,target_mode,split,model,modality,rmse,mae,r2,features_beating_naive,runtime_seconds,status
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,naive_lag1,weather,341.466838159286,80.25187683105469,,0.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,naive_lag1,ag,7.757100206080732,2.18254828453064,,0.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,naive_lag1,ndvi,2.8523311049453515,0.3677237629890442,,0.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,naive_lag1,weather,574.9478780724388,107.1949462890625,,0.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,lstm,ag,6.59148783997817,1.8641064167022705,,33.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,lstm,ndvi,2.566116200492712,0.522229015827179,,33.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,lstm,weather,210.6958430564068,48.896610260009766,,33.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,lstm,ag,7.0418599420090064,2.154238224029541,,26.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,lstm,ndvi,2.154582719696416,0.4480109214782715,,26.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,lstm,weather,542.8619184470393,88.84877014160156,,26.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,tiny_mamba_ssm,ag,4.691473738846372,1.4555847644805908,,33.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,tiny_mamba_ssm,ndvi,2.97807661979902,0.6891392469406128,,33.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,tiny_mamba_ssm,weather,217.551322967708,52.34784698486328,,33.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,tiny_mamba_ssm,ag,4.72356911443381,1.4048770666122437,,31.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,tiny_mamba_ssm,ndvi,2.658351650194863,0.6626449823379517,,31.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,test,tiny_mamba_ssm,weather,507.4870226173276,85.47828674316406,,31.0,3.8526997566223145,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,ag,7.874177435649131,2.240698337554932,,0.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,ndvi,3.5392150172365087,0.4227045774459839,,0.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,weather,341.466838159286,80.25187683105469,,0.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,naive_lag1,ag,7.757100206080732,2.18254828453064,,0.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,naive_lag1,ndvi,2.8523311049453515,0.3677237629890442,,0.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,naive_lag1,weather,574.9478780724388,107.1949462890625,,0.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,lstm,ag,5.65290927760045,1.6101553440093994,,33.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,lstm,ndvi,2.6505908595258627,0.5722912549972534,,33.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,lstm,weather,206.18463926478617,49.45964431762695,,33.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,lstm,ag,4.8162345762820165,1.3844584226608276,,31.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,lstm,ndvi,2.501616527538642,0.5675451755523682,,31.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,lstm,weather,508.0301725783617,78.49789428710938,,31.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,tiny_mamba_ssm,ag,4.4214287522591285,1.3301968574523926,,33.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,tiny_mamba_ssm,ndvi,2.7191316183319447,0.5571647882461548,,33.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,tiny_mamba_ssm,weather,221.59576619094057,54.03276824951172,,33.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,tiny_mamba_ssm,ag,4.991572525758514,1.5321615934371948,,32.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,tiny_mamba_ssm,ndvi,2.414689757201773,0.5247039198875427,,32.0,1.7718055248260498,completed
ia10_seq6_base,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,test,tiny_mamba_ssm,weather,475.4009985002135,79.83988189697266,,32.0,1.7718055248260498,completed
ia30_seq6_lstm_seasonal_residual_weather_only,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,weather,seasonal_residual,val,naive_lag1,weather,346.50639198649714,80.99848937988281,,0.0,542.2755117416382,completed
ia30_seq6_lstm_seasonal_residual_weather_only,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,weather,seasonal_residual,test,naive_lag1,weather,577.7335566677774,107.5191650390625,,0.0,542.2755117416382,completed
