model,known_months,count,rmse,mae,nrmse_std,nrmse_range,smape,pearson_corr,r2,modality,lag1_rmse,seasonal_last_year_rmse,beats_lag1,beats_seasonal_last_year,raw_rmse,raw_mae,count_overall,feature_wins_vs_lag1,feature_wins_vs_seasonal_last_year,run_name,feature_group,selected_feature_count,target_mode,loss_mode,trainable_parameters,training_runtime_seconds,input_dim,output_dim,seq_len,checkpoint_size_bytes,sarima_fit_count,sarima_fallback_count
naive_lag1,3,5400.0,12.398169016646657,2.554797994001058,1.5623273061968603,0.3526390337056908,82.90831460175816,0.5654314369423361,0.1109403676089222,all,12.398169016646657,3.829117697786266,False,False,12.398169016646655,2.554797994001058,5400,0,2,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
naive_lag1,6,3600.0,9.960426700912969,2.1432980968059727,0.951766898263696,0.2394275211227053,58.16763343309819,0.7730045201667025,0.572035709382559,all,9.960426700912969,4.363245337700541,False,False,9.960426700912969,2.1432980968059727,3600,0,3,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
naive_lag1,9,1800.0,14.70592719639677,3.5726298923350663,1.3497555805188668,0.3626398705923158,84.89460392143555,0.7910636326991015,-2.014450854230984,all,14.70592719639677,3.158080788005701,False,False,14.70592719639677,3.5726298923350663,1800,0,2,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
sarima,0,7200.0,4.037717518610912,0.8494859605339884,0.7073829868551758,0.1357946542097247,59.19113188595386,0.9416694899269205,0.8767384456554072,all,9.596684652399787,3.818737512739183,True,False,4.037717518610912,0.8494859605339884,7200,19,3,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
sarima,1,6600.0,4.110891637647091,0.8325749860572609,0.6732693706701177,0.1304615800865683,58.025761246710566,0.9468684557485414,0.8816723115227696,all,10.40859999284707,3.678958827512655,True,False,4.110891637647091,0.8325749860572609,6600,18,5,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
sarima,3,5400.0,4.341983893777237,0.8471528870162452,0.5600844788017131,0.1158736083967318,53.80255877623244,0.9550837557775652,0.8909584026430926,all,12.398169016646657,3.829117697786266,True,False,4.341983893777237,0.8471528870162452,5400,19,5,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
sarima,6,3600.0,4.9404284318702745,0.9589844333388,0.5454302379987409,0.1145624639783237,54.720058709024016,0.9552340933413508,0.8947115176754912,all,9.960426700912969,4.363245337700541,True,False,4.9404284318702745,0.9589844333387999,3600,16,6,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
sarima,9,1800.0,3.2849705080478246,0.7736181345761584,0.5447602542334375,0.1121704172399888,48.99317016887864,0.924125534624066,0.8495866647136867,all,14.70592719639677,3.158080788005701,True,False,3.2849705080478246,0.7736181345761584,1800,16,7,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
seasonal_last_year,0,7200.0,3.818737512739183,0.6452139507369573,0.6651349210181559,0.1235983285989826,43.12809373329784,0.943273072442712,0.8897457376007918,all,9.596684652399787,3.818737512739183,True,False,3.8187375127391827,0.6452139507369573,7200,17,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
seasonal_last_year,1,6600.0,3.678958827512655,0.6086917410259595,0.6257589433449953,0.11603154462834,42.21862217294514,0.9516009636896036,0.905231463465534,all,10.40859999284707,3.678958827512655,True,False,3.6789588275126546,0.6086917410259595,6600,17,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
seasonal_last_year,3,5400.0,3.829117697786266,0.6160405109594433,0.4825610978818507,0.0977495220076739,38.81604075572929,0.9571940481943128,0.915196611406168,all,12.398169016646657,3.829117697786266,True,False,3.829117697786266,0.6160405109594433,5400,17,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
seasonal_last_year,6,3600.0,4.363245337700541,0.7057531634646067,0.4944349386510412,0.1014568316544482,41.5067786634096,0.9585770152555424,0.9178758482437628,all,9.960426700912969,4.363245337700541,True,False,4.363245337700541,0.7057531634646067,3600,15,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
seasonal_last_year,9,1800.0,3.158080788005701,0.4748753700199692,0.399738229596041,0.0942850516372458,27.86519398450564,0.9332729533838529,0.860982377154391,all,14.70592719639677,3.158080788005701,True,False,3.158080788005701,0.4748753700199692,1800,16,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
ensemble_mean,0,8280.0,385.9384606031368,52.73658049602656,0.696718605419986,0.145453190708301,54.701123187616446,0.948196325102798,0.8918682638942468,all,924.8843540734624,393.78819990763697,True,True,385.9384606031368,52.73658049602656,8280,21,13,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
ensemble_mean,1,7590.0,405.0829617792833,56.089997060523366,0.6926017290051921,0.1464033141799606,53.64166184625239,0.9476042849497244,0.8900470218550753,all,994.3955882077872,411.057399610304,True,True,405.0829617792833,56.089997060523366,7590,20,13,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
ensemble_mean,3,6210.0,441.82487810745295,61.83641969403325,0.6815991237106412,0.1468948986746278,49.49899314531497,0.9481210715081994,0.8874100352228866,all,756.9895394781548,449.13025205462895,True,True,441.82487810745295,61.83641969403325,6210,20,11,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
ensemble_mean,6,4140.0,127.2666489235067,27.434149653492184,0.6353583064586327,0.1358125175452193,49.18209940338856,0.9970385159107236,0.9808246810049844,all,749.4760894904317,98.92089950484625,True,False,127.2666489235067,27.434149653492184,4140,21,14,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
ensemble_mean,9,2070.0,115.92391531975278,25.3510013173402,0.6692653167485618,0.1496236190695294,51.67887395054762,0.9973199342472296,0.9408578648945212,all,536.0544736584048,69.68078912846616,True,False,115.92391531975278,25.3510013173402,2070,21,11,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
lstm,0,8280.0,379.3689769378932,56.55559387410814,0.7900019814836293,0.1663725177849744,65.37548419171841,0.9485405945387476,0.8955181906841738,all,924.8843540734624,393.78819990763697,True,True,379.3689769378932,56.55559387410814,8280,19,4,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,24407,0.9607963690068572,23,23,6,101075,3450,0
lstm,1,7590.0,398.1840533110932,60.04371819765327,0.7818333060451151,0.1665764798941251,64.3682857671784,0.9477179032829016,0.893760315368418,all,994.3955882077872,411.057399610304,True,True,398.1840533110932,60.04371819765327,7590,20,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,24407,0.9607963690068572,23,23,6,101075,3450,0
lstm,3,6210.0,436.6563577799094,67.94562488291,0.7766102996758271,0.1666622249552285,61.09712724323021,0.946186918851444,0.8900288092572181,all,756.9895394781548,449.13025205462895,True,True,436.6563577799094,67.94562488291,6210,19,2,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,24407,0.9607963690068572,23,23,6,101075,3450,0
lstm,6,4140.0,142.1197761410925,29.774769133068663,0.7344178653102471,0.1577843432700884,57.42588866371225,0.9955059584730724,0.9760876417728168,all,749.4760894904317,98.92089950484625,True,False,142.1197761410925,29.774769133068666,4140,19,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,24407,0.9607963690068572,23,23,6,101075,3450,0
lstm,9,2070.0,108.5219670251308,23.05209429349237,0.7672750809715738,0.1743971378874636,59.10201288807045,0.9872847730396784,0.9481694010139288,all,536.0544736584048,69.68078912846616,True,False,108.5219670251308,23.052094293492374,2070,19,4,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,24407,0.9607963690068572,23,23,6,101075,3450,0
naive_lag1,0,8280.0,924.8843540734624,158.02798408532578,1.4014686556068137,0.3620942231825871,82.65141285753849,0.8488711734260267,0.3789995457870198,all,924.8843540734624,393.78819990763697,False,False,924.8843540734623,158.02798408532578,8280,0,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
naive_lag1,1,7590.0,994.3955882077872,179.77789160924308,1.6511846009808615,0.4141858045749896,96.70219697013762,0.8685084346591705,0.337421374472706,all,994.3955882077872,411.057399610304,False,False,994.3955882077872,179.77789160924308,7590,0,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
naive_lag1,3,6210.0,756.9895394781548,144.57996862578597,1.301097421826192,0.3160757635615626,78.85541814004813,0.8845611950532577,0.6694941857052528,all,756.9895394781548,449.13025205462895,False,False,756.9895394781548,144.57996862578597,6210,0,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
naive_lag1,6,4140.0,749.4760894904317,145.61208697995906,1.4167911188124962,0.3238112672322714,66.29145565480626,0.9001014584876323,0.3349888175948808,all,749.4760894904317,98.92089950484625,False,False,749.4760894904317,145.61208697995906,4140,0,4,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
naive_lag1,9,2070.0,536.0544736584048,126.12992089456397,1.3370603106877488,0.3546375584891257,84.44832500356989,0.9765028505239174,-0.2646453820992043,all,536.0544736584048,69.68078912846616,False,False,536.0544736584048,126.12992089456397,2070,0,2,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
sarima,0,8280.0,394.6191612037931,57.74964785821874,0.753900982243123,0.1544240899450867,55.46151651934196,0.9447928171206024,0.8869492636888625,all,924.8843540734624,393.78819990763697,True,False,394.6191612037931,57.749647858218744,8280,22,5,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
sarima,1,7590.0,415.58758012564687,60.10339167316264,0.7537161861047587,0.1561823998666919,54.20961332253752,0.9441353614226392,0.8842704765992426,all,994.3955882077872,411.057399610304,True,False,415.58758012564687,60.10339167316264,7590,20,5,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
sarima,3,6210.0,451.02575459824345,64.81606088395677,0.7467127855880925,0.1582911523114148,50.07722062542924,0.9470274284416076,0.8826719017239282,all,756.9895394781548,449.13025205462895,True,False,451.02575459824345,64.81606088395677,6210,20,6,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
sarima,6,4140.0,184.8550155948467,39.88270559483736,0.6390135353814419,0.1354273161908123,49.017605476647525,0.9921973143530304,0.9595446598096478,all,749.4760894904317,98.92089950484625,True,False,184.8550155948467,39.88270559483736,4140,22,12,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
sarima,9,2070.0,221.3139429834525,50.71981240556337,0.7014561272280005,0.1481756803470703,53.47644655998232,0.9977082141541712,0.7844398540660458,all,536.0544736584048,69.68078912846616,True,False,221.3139429834525,50.71981240556337,2070,18,12,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
seasonal_last_year,0,8280.0,393.78819990763697,50.535073247893656,0.7279061657706567,0.149798082894859,42.60913531668898,0.9483188123436156,0.8874248712595952,all,924.8843540734624,393.78819990763697,True,False,393.78819990763697,50.535073247893656,8280,20,0,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
seasonal_last_year,1,7590.0,411.057399610304,54.16237924124504,0.7220993610807007,0.1498744587924213,42.23309186487538,0.9481915217965876,0.8867797823591889,all,994.3955882077872,411.057399610304,True,False,411.05739961030395,54.162379241245034,7590,20,0,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
